game_id,season,round_raw,home,away,venue,kickoff_utc,kickoff_local_awst,status,home_score,away_score,source
2024_ID35700,2024,0,Sydney,Melbourne,S.C.G.,2024-03-07T08:30:00+00:00,,final,86,64,squiggle
2024_ID35701,2024,0,Brisbane Lions,Carlton,Gabba,2024-03-08T08:40:00+00:00,,final,85,86,squiggle
2024_ID35702,2024,0,Gold Coast,Richmond,Carrara,2024-03-09T05:20:00+00:00,,final,99,60,squiggle
2024_ID35703,2024,0,Greater Western Sydney,Collingwood,Sydney Showground,2024-03-09T08:30:00+00:00,,final,114,82,squiggle
2024_ID35704,2024,1,Carlton,Richmond,M.C.G.,2024-03-14T08:30:00+00:00,,final,86,81,squiggle
2024_ID35705,2024,1,Collingwood,Sydney,M.C.G.,2024-03-15T08:40:00+00:00,,final,69,102,squiggle
2024_ID35706,2024,1,Essendon,Hawthorn,M.C.G.,2024-03-16T02:45:00+00:00,,final,107,83,squiggle
2024_ID35707,2024,1,Greater Western Sydney,North Melbourne,Sydney Showground,2024-03-16T05:35:00+00:00,,final,121,82,squiggle
2024_ID35708,2024,1,Geelong,St Kilda,Kardinia Park,2024-03-16T08:30:00+00:00,,final,76,68,squiggle
2024_ID35709,2024,1,Gold Coast,Adelaide,Carrara,2024-03-16T09:10:00+00:00,,final,60,54,squiggle
2024_ID35710,2024,1,Melbourne,Western Bulldogs,M.C.G.,2024-03-17T02:00:00+00:00,,final,109,64,squiggle
2024_ID35711,2024,1,Port Adelaide,West Coast,Adelaide Oval,2024-03-17T05:00:00+00:00,,final,120,70,squiggle
2024_ID35712,2024,1,Fremantle,Brisbane Lions,Perth Stadium,2024-03-17T07:50:00+00:00,,final,93,70,squiggle
2024_ID35713,2024,2,St Kilda,Collingwood,M.C.G.,2024-03-21T08:30:00+00:00,,final,94,79,squiggle
2024_ID35714,2024,2,Adelaide,Geelong,Adelaide Oval,2024-03-22T08:40:00+00:00,,final,77,96,squiggle
2024_ID35715,2024,2,North Melbourne,Fremantle,Docklands,2024-03-23T02:45:00+00:00,,final,76,102,squiggle
2024_ID35716,2024,2,Hawthorn,Melbourne,M.C.G.,2024-03-23T05:35:00+00:00,,final,38,93,squiggle
2024_ID35717,2024,2,Sydney,Essendon,S.C.G.,2024-03-23T08:30:00+00:00,,final,131,101,squiggle
2024_ID35718,2024,2,Western Bulldogs,Gold Coast,Eureka Stadium,2024-03-24T02:00:00+00:00,,final,115,67,squiggle
2024_ID35719,2024,2,Richmond,Port Adelaide,M.C.G.,2024-03-24T05:00:00+00:00,,final,92,122,squiggle
2024_ID35720,2024,2,West Coast,Greater Western Sydney,Perth Stadium,2024-03-24T07:50:00+00:00,,final,43,108,squiggle
2024_ID35721,2024,3,Brisbane Lions,Collingwood,Gabba,2024-03-28T08:30:00+00:00,,final,72,92,squiggle
2024_ID35722,2024,3,North Melbourne,Carlton,Docklands,2024-03-29T05:20:00+00:00,,final,81,137,squiggle
2024_ID35723,2024,3,Fremantle,Adelaide,Perth Stadium,2024-03-29T08:30:00+00:00,,final,69,34,squiggle
2024_ID35724,2024,3,Essendon,St Kilda,Docklands,2024-03-30T05:20:00+00:00,,final,71,67,squiggle
2024_ID35725,2024,3,Port Adelaide,Melbourne,Adelaide Oval,2024-03-30T08:30:00+00:00,,final,89,96,squiggle
2024_ID35726,2024,3,Western Bulldogs,West Coast,Docklands,2024-03-31T02:00:00+00:00,,final,106,30,squiggle
2024_ID35727,2024,3,Richmond,Sydney,M.C.G.,2024-03-31T05:00:00+00:00,,final,82,77,squiggle
2024_ID35728,2024,3,Hawthorn,Geelong,M.C.G.,2024-04-01T04:20:00+00:00,,final,70,106,squiggle
2024_ID35729,2024,4,Adelaide,Melbourne,Adelaide Oval,2024-04-04T08:40:00+00:00,,final,63,78,squiggle
2024_ID35730,2024,4,Brisbane Lions,North Melbourne,Norwood Oval,2024-04-05T06:10:00+00:00,,final,112,42,squiggle
2024_ID35731,2024,4,Port Adelaide,Essendon,Adelaide Oval,2024-04-05T09:10:00+00:00,,final,111,42,squiggle
2024_ID35732,2024,4,West Coast,Sydney,Adelaide Hills,2024-04-06T02:30:00+00:00,,final,78,104,squiggle
2024_ID35733,2024,4,Fremantle,Carlton,Adelaide Oval,2024-04-06T05:20:00+00:00,,final,63,73,squiggle
2024_ID35734,2024,4,Western Bulldogs,Geelong,Adelaide Oval,2024-04-06T09:10:00+00:00,,final,91,95,squiggle
2024_ID35735,2024,4,Gold Coast,Greater Western Sydney,Adelaide Hills,2024-04-07T02:30:00+00:00,,final,89,117,squiggle
2024_ID35736,2024,4,Richmond,St Kilda,Norwood Oval,2024-04-07T05:20:00+00:00,,final,60,67,squiggle
2024_ID35737,2024,4,Collingwood,Hawthorn,Adelaide Oval,2024-04-07T07:10:00+00:00,,final,77,72,squiggle
2024_ID35738,2024,5,Melbourne,Brisbane Lions,M.C.G.,2024-04-11T09:30:00+00:00,,final,60,82,squiggle
2024_ID35739,2024,5,Western Bulldogs,Essendon,Docklands,2024-04-12T09:40:00+00:00,,final,67,96,squiggle
2024_ID35740,2024,5,Greater Western Sydney,St Kilda,Manuka Oval,2024-04-13T03:45:00+00:00,,final,80,79,squiggle
2024_ID35741,2024,5,Carlton,Adelaide,Docklands,2024-04-13T06:35:00+00:00,,final,98,100,squiggle
2024_ID35742,2024,5,Gold Coast,Hawthorn,Carrara,2024-04-13T09:30:00+00:00,,final,109,56,squiggle
2024_ID35743,2024,5,Port Adelaide,Fremantle,Adelaide Oval,2024-04-13T09:30:00+00:00,,final,66,63,squiggle
2024_ID35744,2024,5,Geelong,North Melbourne,Kardinia Park,2024-04-14T03:00:00+00:00,,final,139,64,squiggle
2024_ID35745,2024,5,West Coast,Richmond,Perth Stadium,2024-04-14T06:00:00+00:00,,final,109,70,squiggle
2024_ID35746,2024,6,St Kilda,Western Bulldogs,Docklands,2024-04-18T09:30:00+00:00,,final,64,124,squiggle
2024_ID35747,2024,6,Adelaide,Essendon,Adelaide Oval,2024-04-19T09:40:00+00:00,,final,75,78,squiggle
2024_ID35748,2024,6,Collingwood,Port Adelaide,M.C.G.,2024-04-20T03:45:00+00:00,,final,123,81,squiggle
2024_ID35749,2024,6,Carlton,Greater Western Sydney,Docklands,2024-04-20T06:35:00+00:00,,final,117,98,squiggle
2024_ID35750,2024,6,Brisbane Lions,Geelong,Gabba,2024-04-20T09:30:00+00:00,,final,37,63,squiggle
2024_ID35751,2024,6,West Coast,Fremantle,Perth Stadium,2024-04-20T10:10:00+00:00,,final,105,68,squiggle
2024_ID35752,2024,6,Sydney,Gold Coast,S.C.G.,2024-04-21T03:05:00+00:00,,final,110,57,squiggle
2024_ID35753,2024,6,North Melbourne,Hawthorn,Docklands,2024-04-21T06:05:00+00:00,,final,68,113,squiggle
2024_ID35754,2024,7,Richmond,Melbourne,M.C.G.,2024-04-24T09:25:00+00:00,,final,42,85,squiggle
2024_ID35755,2024,7,Essendon,Collingwood,M.C.G.,2024-04-25T05:20:00+00:00,,final,85,85,squiggle
2024_ID35756,2024,7,Greater Western Sydney,Brisbane Lions,Manuka Oval,2024-04-25T09:35:00+00:00,,final,113,59,squiggle
2024_ID35757,2024,7,Port Adelaide,St Kilda,Adelaide Oval,2024-04-26T09:40:00+00:00,,final,82,72,squiggle
2024_ID35758,2024,7,North Melbourne,Adelaide,Bellerive Oval,2024-04-27T03:45:00+00:00,,final,81,138,squiggle
2024_ID35759,2024,7,Geelong,Carlton,M.C.G.,2024-04-27T06:35:00+00:00,,final,118,105,squiggle
2024_ID35760,2024,7,Fremantle,Western Bulldogs,Perth Stadium,2024-04-27T09:40:00+00:00,,final,95,71,squiggle
2024_ID35761,2024,7,Gold Coast,West Coast,Carrara,2024-04-28T03:00:00+00:00,,final,112,75,squiggle
2024_ID35762,2024,7,Hawthorn,Sydney,M.C.G.,2024-04-28T06:00:00+00:00,,final,42,118,squiggle
2024_ID35763,2024,8,Adelaide,Port Adelaide,Adelaide Oval,2024-05-02T09:30:00+00:00,,final,78,48,squiggle
2024_ID35764,2024,8,Carlton,Collingwood,M.C.G.,2024-05-03T09:40:00+00:00,,final,79,85,squiggle
2024_ID35765,2024,8,Sydney,Greater Western Sydney,S.C.G.,2024-05-04T03:45:00+00:00,,final,98,69,squiggle
2024_ID35766,2024,8,St Kilda,North Melbourne,Docklands,2024-05-04T06:35:00+00:00,,final,103,65,squiggle
2024_ID35767,2024,8,Melbourne,Geelong,M.C.G.,2024-05-04T09:30:00+00:00,,final,74,66,squiggle
2024_ID35768,2024,8,West Coast,Essendon,Perth Stadium,2024-05-04T10:10:00+00:00,,final,71,77,squiggle
2024_ID35769,2024,8,Richmond,Fremantle,M.C.G.,2024-05-05T03:00:00+00:00,,final,49,103,squiggle
2024_ID35770,2024,8,Western Bulldogs,Hawthorn,Docklands,2024-05-05T06:00:00+00:00,,final,91,98,squiggle
2024_ID35771,2024,8,Brisbane Lions,Gold Coast,Gabba,2024-05-05T09:10:00+00:00,,final,79,45,squiggle
2024_ID35772,2024,9,Carlton,Melbourne,M.C.G.,2024-05-09T09:30:00+00:00,,final,77,76,squiggle
2024_ID35773,2024,9,Geelong,Port Adelaide,Kardinia Park,2024-05-10T09:10:00+00:00,,final,95,101,squiggle
2024_ID35774,2024,9,Fremantle,Sydney,Perth Stadium,2024-05-10T10:30:00+00:00,,final,39,87,squiggle
2024_ID35775,2024,9,Hawthorn,St Kilda,York Park,2024-05-11T03:45:00+00:00,,final,58,53,squiggle
2024_ID35776,2024,9,Essendon,Greater Western Sydney,Docklands,2024-05-11T06:35:00+00:00,,final,82,62,squiggle
2024_ID35778,2024,9,Gold Coast,North Melbourne,Marrara Oval,2024-05-11T09:30:00+00:00,,final,120,52,squiggle
2024_ID35777,2024,9,Richmond,Western Bulldogs,M.C.G.,2024-05-11T09:30:00+00:00,,final,42,133,squiggle
2024_ID35779,2024,9,Collingwood,West Coast,Docklands,2024-05-12T03:00:00+00:00,,final,103,37,squiggle
2024_ID35780,2024,9,Adelaide,Brisbane Lions,Adelaide Oval,2024-05-12T06:00:00+00:00,,final,90,90,squiggle
2024_ID35781,2024,10,Gold Coast,Geelong,Marrara Oval,2024-05-16T09:30:00+00:00,,final,164,100,squiggle
2024_ID35782,2024,10,Sydney,Carlton,S.C.G.,2024-05-17T09:40:00+00:00,,final,117,65,squiggle
2024_ID35783,2024,10,Collingwood,Adelaide,M.C.G.,2024-05-18T03:45:00+00:00,,final,78,74,squiggle
2024_ID35784,2024,10,Greater Western Sydney,Western Bulldogs,Sydney Showground,2024-05-18T06:35:00+00:00,,final,43,70,squiggle
2024_ID35786,2024,10,Brisbane Lions,Richmond,Gabba,2024-05-18T09:30:00+00:00,,final,163,44,squiggle
2024_ID35785,2024,10,St Kilda,Fremantle,Docklands,2024-05-18T09:30:00+00:00,,final,55,72,squiggle
2024_ID35787,2024,10,Essendon,North Melbourne,Docklands,2024-05-19T03:10:00+00:00,,final,106,66,squiggle
2024_ID35788,2024,10,Port Adelaide,Hawthorn,Adelaide Oval,2024-05-19T05:20:00+00:00,,final,80,79,squiggle
2024_ID35789,2024,10,West Coast,Melbourne,Perth Stadium,2024-05-19T08:20:00+00:00,,final,105,70,squiggle
2024_ID35790,2024,11,Western Bulldogs,Sydney,Docklands,2024-05-23T09:30:00+00:00,,final,88,102,squiggle
2024_ID35791,2024,11,Fremantle,Collingwood,Perth Stadium,2024-05-24T10:10:00+00:00,,final,75,75,squiggle
2024_ID35793,2024,11,Carlton,Gold Coast,Docklands,2024-05-25T03:45:00+00:00,,final,102,73,squiggle
2024_ID35792,2024,11,North Melbourne,Port Adelaide,Bellerive Oval,2024-05-25T03:45:00+00:00,,final,48,107,squiggle
2024_ID35794,2024,11,Geelong,Greater Western Sydney,Kardinia Park,2024-05-25T06:35:00+00:00,,final,74,78,squiggle
2024_ID35795,2024,11,Richmond,Essendon,M.C.G.,2024-05-25T09:40:00+00:00,,final,74,86,squiggle
2024_ID35796,2024,11,Hawthorn,Brisbane Lions,Docklands,2024-05-26T03:10:00+00:00,,final,100,75,squiggle
2024_ID35797,2024,11,Melbourne,St Kilda,M.C.G.,2024-05-26T05:20:00+00:00,,final,100,62,squiggle
2024_ID35798,2024,11,Adelaide,West Coast,Adelaide Oval,2024-05-26T06:40:00+00:00,,final,137,38,squiggle
2024_ID35799,2024,12,Port Adelaide,Carlton,Adelaide Oval,2024-05-30T09:30:00+00:00,,final,71,107,squiggle
2024_ID35800,2024,12,Collingwood,Western Bulldogs,Docklands,2024-05-31T09:40:00+00:00,,final,82,100,squiggle
2024_ID35801,2024,12,Hawthorn,Adelaide,M.C.G.,2024-06-01T03:45:00+00:00,,final,107,80,squiggle
2024_ID35802,2024,12,West Coast,St Kilda,Perth Stadium,2024-06-01T06:35:00+00:00,,final,68,82,squiggle
2024_ID35803,2024,12,Geelong,Richmond,Kardinia Park,2024-06-01T09:30:00+00:00,,final,99,69,squiggle
2024_ID35804,2024,12,Melbourne,Fremantle,Traeger Park,2024-06-02T03:00:00+00:00,,final,49,141,squiggle
2024_ID35805,2024,12,Gold Coast,Essendon,Carrara,2024-06-02T06:00:00+00:00,,final,91,80,squiggle
2024_ID35806,2024,13,Adelaide,Richmond,Adelaide Oval,2024-06-06T09:30:00+00:00,,final,71,79,squiggle
2024_ID35807,2024,13,Western Bulldogs,Brisbane Lions,Docklands,2024-06-07T09:40:00+00:00,,final,71,114,squiggle
2024_ID35808,2024,13,Hawthorn,Greater Western Sydney,York Park,2024-06-08T03:45:00+00:00,,final,85,79,squiggle
2024_ID35809,2024,13,West Coast,North Melbourne,Perth Stadium,2024-06-08T06:35:00+00:00,,final,65,74,squiggle
2024_ID35810,2024,13,St Kilda,Gold Coast,Docklands,2024-06-08T09:30:00+00:00,,final,51,48,squiggle
2024_ID35811,2024,13,Sydney,Geelong,S.C.G.,2024-06-09T05:20:00+00:00,,final,112,82,squiggle
2024_ID35812,2024,13,Essendon,Carlton,M.C.G.,2024-06-09T09:20:00+00:00,,final,70,96,squiggle
2024_ID35813,2024,13,Collingwood,Melbourne,M.C.G.,2024-06-10T05:20:00+00:00,,final,89,51,squiggle
2024_ID35814,2024,14,Brisbane Lions,St Kilda,Gabba,2024-06-14T09:40:00+00:00,,final,126,106,squiggle
2024_ID35815,2024,14,Western Bulldogs,Fremantle,Docklands,2024-06-15T03:45:00+00:00,,final,149,82,squiggle
2024_ID35816,2024,14,Richmond,Hawthorn,M.C.G.,2024-06-15T06:35:00+00:00,,final,49,97,squiggle
2024_ID35817,2024,14,Adelaide,Sydney,Adelaide Oval,2024-06-15T09:30:00+00:00,,final,67,109,squiggle
2024_ID35818,2024,14,North Melbourne,Collingwood,Docklands,2024-06-16T03:00:00+00:00,,final,118,119,squiggle
2024_ID35819,2024,14,Greater Western Sydney,Port Adelaide,Sydney Showground,2024-06-16T06:00:00+00:00,,final,73,51,squiggle
2024_ID35820,2024,15,Carlton,Geelong,M.C.G.,2024-06-21T09:40:00+00:00,,final,138,75,squiggle
2024_ID35821,2024,15,Port Adelaide,Brisbane Lions,Adelaide Oval,2024-06-22T03:45:00+00:00,,final,73,152,squiggle
2024_ID35822,2024,15,Greater Western Sydney,Sydney,Sydney Showground,2024-06-22T06:35:00+00:00,,final,75,102,squiggle
2024_ID35823,2024,15,Melbourne,North Melbourne,M.C.G.,2024-06-22T09:30:00+00:00,,final,70,67,squiggle
2024_ID35824,2024,15,Essendon,West Coast,Docklands,2024-06-23T03:00:00+00:00,,final,122,92,squiggle
2024_ID35825,2024,15,Fremantle,Gold Coast,Perth Stadium,2024-06-23T06:00:00+00:00,,final,85,65,squiggle
2024_ID35826,2024,16,Brisbane Lions,Melbourne,Gabba,2024-06-28T09:40:00+00:00,,final,86,81,squiggle
2024_ID35829,2024,16,North Melbourne,Western Bulldogs,Docklands,2024-06-29T03:45:00+00:00,,final,60,77,squiggle
2024_ID35832,2024,16,Sydney,Fremantle,S.C.G.,2024-06-29T03:45:00+00:00,,final,98,99,squiggle
2024_ID35828,2024,16,Gold Coast,Collingwood,Carrara,2024-06-29T06:35:00+00:00,,final,101,90,squiggle
2024_ID35833,2024,16,Adelaide,Greater Western Sydney,Adelaide Oval,2024-06-29T09:30:00+00:00,,final,94,78,squiggle
2024_ID35827,2024,16,Geelong,Essendon,M.C.G.,2024-06-29T09:30:00+00:00,,final,105,60,squiggle
2024_ID35831,2024,16,St Kilda,Port Adelaide,Docklands,2024-06-30T03:10:00+00:00,,final,60,62,squiggle
2024_ID35830,2024,16,Richmond,Carlton,M.C.G.,2024-06-30T05:20:00+00:00,,final,70,131,squiggle
2024_ID35834,2024,16,West Coast,Hawthorn,Perth Stadium,2024-06-30T06:40:00+00:00,,final,33,94,squiggle
2024_ID35836,2024,17,Collingwood,Essendon,M.C.G.,2024-07-05T09:40:00+00:00,,final,80,92,squiggle
2024_ID35840,2024,17,North Melbourne,Gold Coast,Docklands,2024-07-06T03:45:00+00:00,,final,87,83,squiggle
2024_ID35842,2024,17,Port Adelaide,Western Bulldogs,Adelaide Oval,2024-07-06T03:45:00+00:00,,final,102,54,squiggle
2024_ID35837,2024,17,Geelong,Hawthorn,Kardinia Park,2024-07-06T06:35:00+00:00,,final,110,59,squiggle
2024_ID35838,2024,17,Greater Western Sydney,Carlton,Sydney Showground,2024-07-06T09:30:00+00:00,,final,116,104,squiggle
2024_ID35843,2024,17,Fremantle,Richmond,Perth Stadium,2024-07-06T10:10:00+00:00,,final,105,54,squiggle
2024_ID35839,2024,17,Melbourne,West Coast,M.C.G.,2024-07-07T03:10:00+00:00,,final,112,58,squiggle
