season,round_w,venue,provider,lat,lon,tz,captured_at_utc,forecast_time_utc,game_key_w,temp_c,wind_speed_ms,wind_gust_ms,rain_prob,pressure_hpa,cloud_pct,raw_payload,round_1,season_1,venue_1,venue_norm,venue_norm_canon,venue_id,weather_time_utc,payload_json,game_key_f,round_f,scheduled_time_utc
2025,finals_w1,Adelaide Oval,open-meteo,-34.91558,138.59619,Australia/Adelaide,2025-08-30 06:28:27.877350+00:00,2025-09-04T03:00:00+00:00,2025_finals_w1_adelaide-crows_collingwood_20250904T094000Z,12.7,4.24,6.4,0.07,1022.8,100.0,"{'elevation': 23.0, 'generationtime_ms': 1.2940168380737305}",finals_w1,2025,Adelaide Oval,adelaide oval,adelaide oval,vn_0635dce461b5,2025-09-04 03:00:00+00:00,"{""provider"": ""open-meteo"", ""lat"": -34.91558, ""lon"": 138.59619, ""tz"": ""Australia/Adelaide"", ""forecast_time_utc"": ""2025-09-04T03:00:00+00:00"", ""game_key"": ""2025_finals_w1_adelaide-crows_collingwood_20250904T094000Z"", ""wind_speed_ms"": 4.24, ""wind_gust_ms"": 6.4, ""rain_prob"": 0.07, ""cloud_pct"": 100.0, ""raw_payload"": {""elevation"": 23.0, ""generationtime_ms"": 1.2940168380737305}, ""round_1"": ""finals_w1"", ""season_1"": 2025, ""venue_1"": ""Adelaide Oval""}",2025_finals_w1_adelaide-crows_collingwood_20250904T094000Z,finals_w1,2025-09-04 17:40:00+00:00
2025,finals_w1,Adelaide Oval,open-meteo,-34.91558,138.59619,Australia/Adelaide,2025-08-30 06:28:27.877350+00:00,2025-09-04T04:00:00+00:00,2025_finals_w1_adelaide-crows_collingwood_20250904T094000Z,12.3,4.5,6.5,0.08,1023.0,100.0,"{'elevation': 23.0, 'generationtime_ms': 1.2940168380737305}",finals_w1,2025,Adelaide Oval,adelaide oval,adelaide oval,vn_0635dce461b5,2025-09-04 04:00:00+00:00,"{""provider"": ""open-meteo"", ""lat"": -34.91558, ""lon"": 138.59619, ""tz"": ""Australia/Adelaide"", ""forecast_time_utc"": ""2025-09-04T04:00:00+00:00"", ""game_key"": ""2025_finals_w1_adelaide-crows_collingwood_20250904T094000Z"", ""wind_speed_ms"": 4.5, ""wind_gust_ms"": 6.5, ""rain_prob"": 0.08, ""cloud_pct"": 100.0, ""raw_payload"": {""elevation"": 23.0, ""generationtime_ms"": 1.2940168380737305}, ""round_1"": ""finals_w1"", ""season_1"": 2025, ""venue_1"": ""Adelaide Oval""}",2025_finals_w1_adelaide-crows_collingwood_20250904T094000Z,finals_w1,2025-09-04 17:40:00+00:00
2025,finals_w1,Adelaide Oval,open-meteo,-34.91558,138.59619,Australia/Adelaide,2025-08-30 06:28:27.877350+00:00,2025-09-04T05:00:00+00:00,2025_finals_w1_adelaide-crows_collingwood_20250904T094000Z,12.0,4.82,6.6,0.09,1023.1,100.0,"{'elevation': 23.0, 'generationtime_ms': 1.2940168380737305}",finals_w1,2025,Adelaide Oval,adelaide oval,adelaide oval,vn_0635dce461b5,2025-09-04 05:00:00+00:00,"{""provider"": ""open-meteo"", ""lat"": -34.91558, ""lon"": 138.59619, ""tz"": ""Australia/Adelaide"", ""forecast_time_utc"": ""2025-09-04T05:00:00+00:00"", ""game_key"": ""2025_finals_w1_adelaide-crows_collingwood_20250904T094000Z"", ""wind_speed_ms"": 4.82, ""wind_gust_ms"": 6.6, ""rain_prob"": 0.09, ""cloud_pct"": 100.0, ""raw_payload"": {""elevation"": 23.0, ""generationtime_ms"": 1.2940168380737305}, ""round_1"": ""finals_w1"", ""season_1"": 2025, ""venue_1"": ""Adelaide Oval""}",2025_finals_w1_adelaide-crows_collingwood_20250904T094000Z,finals_w1,2025-09-04 17:40:00+00:00
2025,finals_w1,Adelaide Oval,open-meteo,-34.91558,138.59619,Australia/Adelaide,2025-08-30 06:28:27.877350+00:00,2025-09-04T06:00:00+00:00,2025_finals_w1_adelaide-crows_collingwood_20250904T094000Z,11.6,4.93,6.7,0.11,1023.0,100.0,"{'elevation': 23.0, 'generationtime_ms': 1.2940168380737305}",finals_w1,2025,Adelaide Oval,adelaide oval,adelaide oval,vn_0635dce461b5,2025-09-04 06:00:00+00:00,"{""provider"": ""open-meteo"", ""lat"": -34.91558, ""lon"": 138.59619, ""tz"": ""Australia/Adelaide"", ""forecast_time_utc"": ""2025-09-04T06:00:00+00:00"", ""game_key"": ""2025_finals_w1_adelaide-crows_collingwood_20250904T094000Z"", ""wind_speed_ms"": 4.93, ""wind_gust_ms"": 6.7, ""rain_prob"": 0.11, ""cloud_pct"": 100.0, ""raw_payload"": {""elevation"": 23.0, ""generationtime_ms"": 1.2940168380737305}, ""round_1"": ""finals_w1"", ""season_1"": 2025, ""venue_1"": ""Adelaide Oval""}",2025_finals_w1_adelaide-crows_collingwood_20250904T094000Z,finals_w1,2025-09-04 17:40:00+00:00
2025,finals_w1,Adelaide Oval,open-meteo,-34.91558,138.59619,Australia/Adelaide,2025-08-30 06:28:27.877350+00:00,2025-09-04T07:00:00+00:00,2025_finals_w1_adelaide-crows_collingwood_20250904T094000Z,11.4,5.15,6.8,0.13,1022.9,100.0,"{'elevation': 23.0, 'generationtime_ms': 1.2940168380737305}",finals_w1,2025,Adelaide Oval,adelaide oval,adelaide oval,vn_0635dce461b5,2025-09-04 07:00:00+00:00,"{""provider"": ""open-meteo"", ""lat"": -34.91558, ""lon"": 138.59619, ""tz"": ""Australia/Adelaide"", ""forecast_time_utc"": ""2025-09-04T07:00:00+00:00"", ""game_key"": ""2025_finals_w1_adelaide-crows_collingwood_20250904T094000Z"", ""wind_speed_ms"": 5.15, ""wind_gust_ms"": 6.8, ""rain_prob"": 0.13, ""cloud_pct"": 100.0, ""raw_payload"": {""elevation"": 23.0, ""generationtime_ms"": 1.2940168380737305}, ""round_1"": ""finals_w1"", ""season_1"": 2025, ""venue_1"": ""Adelaide Oval""}",2025_finals_w1_adelaide-crows_collingwood_20250904T094000Z,finals_w1,2025-09-04 17:40:00+00:00
2025,finals_w1,Adelaide Oval,open-meteo,-34.91558,138.59619,Australia/Adelaide,2025-08-30 06:28:27.877350+00:00,2025-09-04T08:00:00+00:00,2025_finals_w1_adelaide-crows_collingwood_20250904T094000Z,11.3,5.36,7.3,0.15,1022.6,100.0,"{'elevation': 23.0, 'generationtime_ms': 1.2940168380737305}",finals_w1,2025,Adelaide Oval,adelaide oval,adelaide oval,vn_0635dce461b5,2025-09-04 08:00:00+00:00,"{""provider"": ""open-meteo"", ""lat"": -34.91558, ""lon"": 138.59619, ""tz"": ""Australia/Adelaide"", ""forecast_time_utc"": ""2025-09-04T08:00:00+00:00"", ""game_key"": ""2025_finals_w1_adelaide-crows_collingwood_20250904T094000Z"", ""wind_speed_ms"": 5.36, ""wind_gust_ms"": 7.3, ""rain_prob"": 0.15, ""cloud_pct"": 100.0, ""raw_payload"": {""elevation"": 23.0, ""generationtime_ms"": 1.2940168380737305}, ""round_1"": ""finals_w1"", ""season_1"": 2025, ""venue_1"": ""Adelaide Oval""}",2025_finals_w1_adelaide-crows_collingwood_20250904T094000Z,finals_w1,2025-09-04 17:40:00+00:00
2025,finals_w1,Adelaide Oval,open-meteo,-34.91558,138.59619,Australia/Adelaide,2025-08-30 06:28:27.877350+00:00,2025-09-04T09:00:00+00:00,2025_finals_w1_adelaide-crows_collingwood_20250904T094000Z,11.2,5.76,7.9,0.17,1022.3,100.0,"{'elevation': 23.0, 'generationtime_ms': 1.2940168380737305}",finals_w1,2025,Adelaide Oval,adelaide oval,adelaide oval,vn_0635dce461b5,2025-09-04 09:00:00+00:00,"{""provider"": ""open-meteo"", ""lat"": -34.91558, ""lon"": 138.59619, ""tz"": ""Australia/Adelaide"", ""forecast_time_utc"": ""2025-09-04T09:00:00+00:00"", ""game_key"": ""2025_finals_w1_adelaide-crows_collingwood_20250904T094000Z"", ""wind_speed_ms"": 5.76, ""wind_gust_ms"": 7.9, ""rain_prob"": 0.17, ""cloud_pct"": 100.0, ""raw_payload"": {""elevation"": 23.0, ""generationtime_ms"": 1.2940168380737305}, ""round_1"": ""finals_w1"", ""season_1"": 2025, ""venue_1"": ""Adelaide Oval""}",2025_finals_w1_adelaide-crows_collingwood_20250904T094000Z,finals_w1,2025-09-04 17:40:00+00:00
2025,finals_w1,Adelaide Oval,open-meteo,-34.91558,138.59619,Australia/Adelaide,2025-08-30 06:28:27.877350+00:00,2025-09-04T10:00:00+00:00,2025_finals_w1_adelaide-crows_collingwood_20250904T094000Z,11.2,6.35,8.4,0.19,1022.1,100.0,"{'elevation': 23.0, 'generationtime_ms': 1.2940168380737305}",finals_w1,2025,Adelaide Oval,adelaide oval,adelaide oval,vn_0635dce461b5,2025-09-04 10:00:00+00:00,"{""provider"": ""open-meteo"", ""lat"": -34.91558, ""lon"": 138.59619, ""tz"": ""Australia/Adelaide"", ""forecast_time_utc"": ""2025-09-04T10:00:00+00:00"", ""game_key"": ""2025_finals_w1_adelaide-crows_collingwood_20250904T094000Z"", ""wind_speed_ms"": 6.35, ""wind_gust_ms"": 8.4, ""rain_prob"": 0.19, ""cloud_pct"": 100.0, ""raw_payload"": {""elevation"": 23.0, ""generationtime_ms"": 1.2940168380737305}, ""round_1"": ""finals_w1"", ""season_1"": 2025, ""venue_1"": ""Adelaide Oval""}",2025_finals_w1_adelaide-crows_collingwood_20250904T094000Z,finals_w1,2025-09-04 17:40:00+00:00
2025,finals_w1,Adelaide Oval,open-meteo,-34.91558,138.59619,Australia/Adelaide,2025-08-30 06:28:27.877350+00:00,2025-09-04T11:00:00+00:00,2025_finals_w1_adelaide-crows_collingwood_20250904T094000Z,11.2,7.29,9.7,0.21,1022.1,100.0,"{'elevation': 23.0, 'generationtime_ms': 1.2940168380737305}",finals_w1,2025,Adelaide Oval,adelaide oval,adelaide oval,vn_0635dce461b5,2025-09-04 11:00:00+00:00,"{""provider"": ""open-meteo"", ""lat"": -34.91558, ""lon"": 138.59619, ""tz"": ""Australia/Adelaide"", ""forecast_time_utc"": ""2025-09-04T11:00:00+00:00"", ""game_key"": ""2025_finals_w1_adelaide-crows_collingwood_20250904T094000Z"", ""wind_speed_ms"": 7.29, ""wind_gust_ms"": 9.7, ""rain_prob"": 0.21, ""cloud_pct"": 100.0, ""raw_payload"": {""elevation"": 23.0, ""generationtime_ms"": 1.2940168380737305}, ""round_1"": ""finals_w1"", ""season_1"": 2025, ""venue_1"": ""Adelaide Oval""}",2025_finals_w1_adelaide-crows_collingwood_20250904T094000Z,finals_w1,2025-09-04 17:40:00+00:00
2025,finals_w1,Adelaide Oval,open-meteo,-34.91558,138.59619,Australia/Adelaide,2025-08-30 06:28:27.877350+00:00,2025-09-04T12:00:00+00:00,2025_finals_w1_adelaide-crows_collingwood_20250904T094000Z,11.2,8.39,10.9,0.24,1022.2,100.0,"{'elevation': 23.0, 'generationtime_ms': 1.2940168380737305}",finals_w1,2025,Adelaide Oval,adelaide oval,adelaide oval,vn_0635dce461b5,2025-09-04 12:00:00+00:00,"{""provider"": ""open-meteo"", ""lat"": -34.91558, ""lon"": 138.59619, ""tz"": ""Australia/Adelaide"", ""forecast_time_utc"": ""2025-09-04T12:00:00+00:00"", ""game_key"": ""2025_finals_w1_adelaide-crows_collingwood_20250904T094000Z"", ""wind_speed_ms"": 8.39, ""wind_gust_ms"": 10.9, ""rain_prob"": 0.24, ""cloud_pct"": 100.0, ""raw_payload"": {""elevation"": 23.0, ""generationtime_ms"": 1.2940168380737305}, ""round_1"": ""finals_w1"", ""season_1"": 2025, ""venue_1"": ""Adelaide Oval""}",2025_finals_w1_adelaide-crows_collingwood_20250904T094000Z,finals_w1,2025-09-04 17:40:00+00:00
2025,finals_w1,Adelaide Oval,open-meteo,-34.91558,138.59619,Australia/Adelaide,2025-08-30 06:28:27.877350+00:00,2025-09-04T13:00:00+00:00,2025_finals_w1_adelaide-crows_collingwood_20250904T094000Z,11.3,9.21,12.2,0.25,1022.3,100.0,"{'elevation': 23.0, 'generationtime_ms': 1.2940168380737305}",finals_w1,2025,Adelaide Oval,adelaide oval,adelaide oval,vn_0635dce461b5,2025-09-04 13:00:00+00:00,"{""provider"": ""open-meteo"", ""lat"": -34.91558, ""lon"": 138.59619, ""tz"": ""Australia/Adelaide"", ""forecast_time_utc"": ""2025-09-04T13:00:00+00:00"", ""game_key"": ""2025_finals_w1_adelaide-crows_collingwood_20250904T094000Z"", ""wind_speed_ms"": 9.21, ""wind_gust_ms"": 12.2, ""rain_prob"": 0.25, ""cloud_pct"": 100.0, ""raw_payload"": {""elevation"": 23.0, ""generationtime_ms"": 1.2940168380737305}, ""round_1"": ""finals_w1"", ""season_1"": 2025, ""venue_1"": ""Adelaide Oval""}",2025_finals_w1_adelaide-crows_collingwood_20250904T094000Z,finals_w1,2025-09-04 17:40:00+00:00
2025,finals_w1,Adelaide Oval,open-meteo,-34.91558,138.59619,Australia/Adelaide,2025-08-30 06:28:27.877350+00:00,2025-09-04T14:00:00+00:00,2025_finals_w1_adelaide-crows_collingwood_20250904T094000Z,11.4,9.73,12.8,0.27,1022.4,100.0,"{'elevation': 23.0, 'generationtime_ms': 1.2940168380737305}",finals_w1,2025,Adelaide Oval,adelaide oval,adelaide oval,vn_0635dce461b5,2025-09-04 14:00:00+00:00,"{""provider"": ""open-meteo"", ""lat"": -34.91558, ""lon"": 138.59619, ""tz"": ""Australia/Adelaide"", ""forecast_time_utc"": ""2025-09-04T14:00:00+00:00"", ""game_key"": ""2025_finals_w1_adelaide-crows_collingwood_20250904T094000Z"", ""wind_speed_ms"": 9.73, ""wind_gust_ms"": 12.8, ""rain_prob"": 0.27, ""cloud_pct"": 100.0, ""raw_payload"": {""elevation"": 23.0, ""generationtime_ms"": 1.2940168380737305}, ""round_1"": ""finals_w1"", ""season_1"": 2025, ""venue_1"": ""Adelaide Oval""}",2025_finals_w1_adelaide-crows_collingwood_20250904T094000Z,finals_w1,2025-09-04 17:40:00+00:00
2025,finals_w1,Adelaide Oval,open-meteo,-34.91558,138.59619,Australia/Adelaide,2025-08-30 06:28:27.877350+00:00,2025-09-04T15:00:00+00:00,2025_finals_w1_adelaide-crows_collingwood_20250904T094000Z,11.7,10.1,13.5,0.28,1022.6,100.0,"{'elevation': 23.0, 'generationtime_ms': 1.2940168380737305}",finals_w1,2025,Adelaide Oval,adelaide oval,adelaide oval,vn_0635dce461b5,2025-09-04 15:00:00+00:00,"{""provider"": ""open-meteo"", ""lat"": -34.91558, ""lon"": 138.59619, ""tz"": ""Australia/Adelaide"", ""forecast_time_utc"": ""2025-09-04T15:00:00+00:00"", ""game_key"": ""2025_finals_w1_adelaide-crows_collingwood_20250904T094000Z"", ""wind_speed_ms"": 10.1, ""wind_gust_ms"": 13.5, ""rain_prob"": 0.28, ""cloud_pct"": 100.0, ""raw_payload"": {""elevation"": 23.0, ""generationtime_ms"": 1.2940168380737305}, ""round_1"": ""finals_w1"", ""season_1"": 2025, ""venue_1"": ""Adelaide Oval""}",2025_finals_w1_adelaide-crows_collingwood_20250904T094000Z,finals_w1,2025-09-04 17:40:00+00:00
2025,finals_w1,Melbourne Cricket Ground,open-meteo,-37.819954,144.983398,Australia/Melbourne,2025-08-30 06:28:27.877350+00:00,2025-09-05T03:00:00+00:00,2025_finals_w1_geelong-cats_brisbane-lions_20250905T094000Z,8.2,0.63,2.1,0.18,1027.4,100.0,"{'elevation': 13.0, 'generationtime_ms': 0.2503395080566406}",finals_w1,2025,Melbourne Cricket Ground,melbourne cricket ground,the mcg,vn_23749d6cd7ec,2025-09-05 03:00:00+00:00,"{""provider"": ""open-meteo"", ""lat"": -37.819954, ""lon"": 144.983398, ""tz"": ""Australia/Melbourne"", ""forecast_time_utc"": ""2025-09-05T03:00:00+00:00"", ""game_key"": ""2025_finals_w1_geelong-cats_brisbane-lions_20250905T094000Z"", ""wind_speed_ms"": 0.63, ""wind_gust_ms"": 2.1, ""rain_prob"": 0.18, ""cloud_pct"": 100.0, ""raw_payload"": {""elevation"": 13.0, ""generationtime_ms"": 0.2503395080566406}, ""round_1"": ""finals_w1"", ""season_1"": 2025, ""venue_1"": ""Melbourne Cricket Ground""}",2025_finals_w1_geelong-cats_brisbane-lions_20250905T094000Z,finals_w1,2025-09-05 17:40:00+00:00
2025,finals_w1,Melbourne Cricket Ground,open-meteo,-37.819954,144.983398,Australia/Melbourne,2025-08-30 06:28:27.877350+00:00,2025-09-05T04:00:00+00:00,2025_finals_w1_geelong-cats_brisbane-lions_20250905T094000Z,7.6,1.0,1.9,0.18,1027.3,100.0,"{'elevation': 13.0, 'generationtime_ms': 0.2503395080566406}",finals_w1,2025,Melbourne Cricket Ground,melbourne cricket ground,the mcg,vn_23749d6cd7ec,2025-09-05 04:00:00+00:00,"{""provider"": ""open-meteo"", ""lat"": -37.819954, ""lon"": 144.983398, ""tz"": ""Australia/Melbourne"", ""forecast_time_utc"": ""2025-09-05T04:00:00+00:00"", ""game_key"": ""2025_finals_w1_geelong-cats_brisbane-lions_20250905T094000Z"", ""wind_speed_ms"": 1.0, ""wind_gust_ms"": 1.9, ""rain_prob"": 0.18, ""cloud_pct"": 100.0, ""raw_payload"": {""elevation"": 13.0, ""generationtime_ms"": 0.2503395080566406}, ""round_1"": ""finals_w1"", ""season_1"": 2025, ""venue_1"": ""Melbourne Cricket Ground""}",2025_finals_w1_geelong-cats_brisbane-lions_20250905T094000Z,finals_w1,2025-09-05 17:40:00+00:00
2025,finals_w1,Melbourne Cricket Ground,open-meteo,-37.819954,144.983398,Australia/Melbourne,2025-08-30 06:28:27.877350+00:00,2025-09-05T05:00:00+00:00,2025_finals_w1_geelong-cats_brisbane-lions_20250905T094000Z,7.0,1.1,1.9,0.18,1027.2,100.0,"{'elevation': 13.0, 'generationtime_ms': 0.2503395080566406}",finals_w1,2025,Melbourne Cricket Ground,melbourne cricket ground,the mcg,vn_23749d6cd7ec,2025-09-05 05:00:00+00:00,"{""provider"": ""open-meteo"", ""lat"": -37.819954, ""lon"": 144.983398, ""tz"": ""Australia/Melbourne"", ""forecast_time_utc"": ""2025-09-05T05:00:00+00:00"", ""game_key"": ""2025_finals_w1_geelong-cats_brisbane-lions_20250905T094000Z"", ""wind_speed_ms"": 1.1, ""wind_gust_ms"": 1.9, ""rain_prob"": 0.18, ""cloud_pct"": 100.0, ""raw_payload"": {""elevation"": 13.0, ""generationtime_ms"": 0.2503395080566406}, ""round_1"": ""finals_w1"", ""season_1"": 2025, ""venue_1"": ""Melbourne Cricket Ground""}",2025_finals_w1_geelong-cats_brisbane-lions_20250905T094000Z,finals_w1,2025-09-05 17:40:00+00:00
2025,finals_w1,Melbourne Cricket Ground,open-meteo,-37.819954,144.983398,Australia/Melbourne,2025-08-30 06:28:27.877350+00:00,2025-09-05T06:00:00+00:00,2025_finals_w1_geelong-cats_brisbane-lions_20250905T094000Z,6.5,1.0,1.9,0.18,1027.1,100.0,"{'elevation': 13.0, 'generationtime_ms': 0.2503395080566406}",finals_w1,2025,Melbourne Cricket Ground,melbourne cricket ground,the mcg,vn_23749d6cd7ec,2025-09-05 06:00:00+00:00,"{""provider"": ""open-meteo"", ""lat"": -37.819954, ""lon"": 144.983398, ""tz"": ""Australia/Melbourne"", ""forecast_time_utc"": ""2025-09-05T06:00:00+00:00"", ""game_key"": ""2025_finals_w1_geelong-cats_brisbane-lions_20250905T094000Z"", ""wind_speed_ms"": 1.0, ""wind_gust_ms"": 1.9, ""rain_prob"": 0.18, ""cloud_pct"": 100.0, ""raw_payload"": {""elevation"": 13.0, ""generationtime_ms"": 0.2503395080566406}, ""round_1"": ""finals_w1"", ""season_1"": 2025, ""venue_1"": ""Melbourne Cricket Ground""}",2025_finals_w1_geelong-cats_brisbane-lions_20250905T094000Z,finals_w1,2025-09-05 17:40:00+00:00
